timestamp,elapsed_time,linear_acc_x,linear_acc_y,linear_acc_z,angular_vel_x,angular_vel_y,angular_vel_z,orientation_x,orientation_y,orientation_z,orientation_w
312.64,26.527141571044922,-0.012116862185250864,0.40933297164560173,9.792750355935835,0.00010736467338097621,-0.0001860756621874275,0.4240011596148601,1.74161500453482e-10,1.6885101105023583e-10,0.02497496899075844,0.9996880768139182
312.65,26.53672170639038,-0.011181758474865317,0.4269300601086285,9.818836085318233,0.0002089799624216864,-0.00017918279846832277,0.4440465435573639,1.8567292427336414e-10,1.6960385083080958e-10,0.027149212759463744,0.9996313921874109
312.66,26.546740531921387,-0.0009135566172207444,0.47050651048194186,9.777513774946907,0.0001294252860285994,-6.624603141219015e-05,0.4643116656870047,1.9735359122443063e-10,1.7043308982389065e-10,0.029423285008903073,0.9995670414230778
312.67,26.556629180908203,0.009227137527391486,0.4613676433016647,9.788161673762545,0.0003479562715687057,0.00019176564912090993,0.4842602439911377,2.091843933139174e-10,1.7134898096971948e-10,0.031797154632888756,0.9994943426339401
312.68,26.5668785572052,-0.013198968779013819,0.5427462802105149,9.820013180318462,-4.8104369113114204e-05,-1.6645678493997477e-05,0.5039632319944861,2.2114809500343285e-10,1.723541597185195e-10,0.034270786398865216,0.9994125840710649
312.69,26.576897621154785,-0.014217129034550779,0.5162448260057517,9.80265213272704,-0.0001370036514955357,1.7621701890413215e-05,0.5237356074696154,2.3322855564623253e-10,1.734474534728217e-10,0.03684414059244461,0.9993210241478981
312.7,26.58661937713623,-0.019265602695550825,0.5319129381176357,9.7834165394602,2.588907152065912e-05,-6.634733913178188e-05,0.5441989955617753,2.4541263121948654e-10,1.746371996128823e-10,0.03951717264684975,0.9992188914677299
312.71,26.596896648406982,-0.016972028788914142,0.5491374829392187,9.78150133133767,-8.578420490575507e-05,-0.0001765791958612174,0.5640627817317982,2.576868462630194e-10,1.7592596199693852e-10,0.04228983275767704,0.9991053848545346
312.72,26.60683274269104,-0.002731974805169167,0.6028617707446575,9.802482834459129,-6.988665685299845e-05,5.313860192194289e-05,0.5842012660108314,2.7004214837028637e-10,1.7731834255380166e-10,0.04516206548284508,0.9989796733874635
312.73,26.616647243499756,0.0035446557995030474,0.5683203686442002,9.794224696184346,-2.9262091687611644e-05,8.440452890720787e-05,0.6038092618330785,2.824667318177651e-10,1.7882062524095823e-10,0.048133809327609384,0.9988408964392744
